Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Duane G. Carey,1996,16,Retired,4/30/57,"St. Paul, MN",Male,University Of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0,STS-109 (Columbia),,
M. Scott Carpenter,1959,1,Retired,5/1/25,"Boulder, CO",Male,University Of Colorado,Aeronautical Engineering,,Commander,US Navy (Retired),1,4,0,0,Mercury 7,,
Gerald P. Carr,1966,5,Retired,8/22/32,"Denver, CO",Male,University Of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),1,2017,3,16,Skylab 4,,
Manley Lanier Carter Jr. ,1984,10,Deceased,8/15/47,"Macon, GA",Male,Emory University,Chemistry,Medicine,Captain,US Navy,1,120,0,0,STS-33 (Discovery),4/5/91,
John H. Casper,1984,10,Management,7/9/43,"Greenville, SC",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Colonel,US Air Force (Retired),4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
Christopher J. Cassidy,2004,19,Active,1/4/70,"Salem, MA",Male,US Naval Academy; Massachusetts Institute Of Technology,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
Robert Cenker,,,Retired,11/5/48,"Uniontown, PA",Male,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,,,1,146,0,0,STS 61-C (Columbia),,
Eugene A. Cernan,1963,3,Retired,3/14/34,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",,
Roger B. Chaffee,1963,3,Deceased,2/15/35,"Grand Rapids, MI",Male,Purdue University,Aeronautical Engineering,,Lieutenant Commander,US Navy,1,0,0,0,Apollo 1,1/27/67,Apollo 1
Gregory E. ChaMassachusetts Institute Of TechnologyOff,1998,17,Active,8/6/62,"Montreal, Canada",Male,California Polytechnic State University; California Institute Of Technology; Massachusetts Institute Of Technology,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,,,2,4770,2,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Franklin R. Chang-Diaz,1980,9,Retired,4/5/50,"San Jose, Costa Rica",Male,University Of Connecticut; Massachusetts Institute Of Technology,Mechanical Engineering,Applied Plasma Physics,,,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
Philip K. Chapman,1967,6,Retired,3/5/35,"Melbourne, Australia",Male,University Of Sydney; Massachusetts Institute Of Technology,Physics & Mathematics,Aeronautics & Astronautics; Instrumentation,,,0,0,0,0,,,
Kalpana Chawla,1995,15,Deceased,6/1/61,"Karnal, India",Female,Punjab Engineering College; University Of Texas-Arlington; University Of Colorado,Aeronautical Engineering,Aerospace Engineering,,,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/03,STS-107 (Columbia)
Leroy Chiao,1990,13,Retired,8/28/60,"Milwaukee, WI",Male,"University Of California-Berkeley; University Of California, Santa Barbara",Chemical Engineering,Chemical Engineering,,,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",,
Kevin P. Chilton,1987,12,Retired,3/11/54,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,Brigadier General,US Air Force (Retired),3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
Laurel B. Clark,1996,16,Deceased,3/10/61,"Ames, IA",Female,University Of Wisconsin-Madison,Zoology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),2/1/03,STS-107 (Columbia)
Mary L. Cleave,1980,9,Retired,2/5/47,"Southampton, NY",Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,,,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Michael R. Clifford,1990,13,Retired,10/13/52,"San Bernardino, CA",Male,US Military Academy; Georgia Institute Of Technology,,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Michael L. Coats,1978,8,Retired,1/16/46,"Sacramento, CA",Male,US Naval Academy; George Washington University In St. Louis; US Naval Postgraduate School,,Science & Technology Administration; Aeronautical Engineering,Captain,US Navy (Retired),3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Kenneth D. Cockrell,1990,13,Management,4/9/50,"Austin, TX",Male,University Of Texas; University Of West Florida,Mechanical Engineering,Aeronautical Systems,,US Naval Reserves,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
Catherine G. Coleman,1992,14,Active,12/14/60,"Charleston, SC",Female,Massachusetts Institute Of Technology; University Of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Eileen M. Collins,1990,13,Retired,11/19/59,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
Michael Collins,1963,3,Retired,10/31/30,"Rome, Italy",Male,US Military Academy,,,,US Air Force Reserves,2,266,1,1,"Gemini 10, Apollo 11",,
Charles Conrad Jr. ,1962,2,Deceased,5/2/30,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,,Captain,US Navy (Retired),4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",7/8/99,
L. Gordon Cooper Jr. ,1959,1,Deceased,3/6/27,"Shawnee, OK",Male,Air Force Institute Of Technology,Aeronautical Engineering,,Colonel,US Air Force (Retired),2,225,0,0,"Mercury 9, Gemini 5",10/4/04,
Richard O. Covey,1978,8,Retired,8/1/46,"Fayetteville, AR",Male,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
Timothy J. Creamer,1998,17,Management,11/15/59,"Ft. Huachuca, AZ",Male,Loyola College; Massachusetts Institute Of Technology,Chemistry,Physics,Colonel,US Army (Retired),1,3917,0,0,ISS-22/23 (Soyuz),,
John O. Creighton,1978,8,Retired,4/28/43,"Orange, TX",Male,US Naval Academy; George Washington University In St. Louis,,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
Robert L. Crippen,1969,7,Retired,9/11/37,"Beaumont, TX",Male,University Of Texas,Aerospace Engineering,,Captain,US Navy (Retired),4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
Roger K. Crouch,,,Retired,9/12/40,"Jamestown, TN",Male,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,,,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Frank L. Culbertson Jr. ,1984,10,Retired,5/15/49,"Charleston, SC",Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
Walter Cunningham,1963,3,Retired,3/16/32,"Creston, IA",Male,University Of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,,
Robert L. Curbeam Jr. ,1995,15,Retired,3/5/62,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Nancy J. Currie,1990,13,Management,12/29/58,"Wilmington, DE",Female,Ohio State University; University Of Southern California; University Of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
N. Jan Davis,1987,12,Retired,11/1/53,"Cocoa Beach, FL",Female,Georgia Institute Of Technology; Auburn University; University Of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,,,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
Lawrence J. Delucas,,,Retired,7/11/50,"Syracuse, NY",Male,University Of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,,,1,331,0,0,STS-50 (Columbia),,
Alvin B. Drew Jr. ,2000,18,Active,11/5/62,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)",,
Brian Duffy,1985,11,Retired,6/20/53,"Boston, MA",Male,US Air Force Academy; University Of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
Charles M. Duke Jr. ,1966,5,Retired,10/3/35,"Charlotte, NC",Male,US Naval Academy; Massachusetts Institute Of Technology,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20,Apollo 16,,
Bonnie J. Dunbar,1980,9,Retired,3/3/49,"Sunnyside, WA",Female,University Of Washington; University Of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,,,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
Samuel T. Durrance,,,Retired,9/17/43,"Tallahassee, FL",Male,California State University; University Of Colorado,Physics,Physics; Astrogeophysics,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",,
James P. Dutton Jr. ,2004,19,Management,11/20/68,"Eugene, OR",Male,US Air Force Academy; University Of Washington,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,1,362,0,0,STS-131 (Discovery),,
Joe F. Edwards Jr. ,1995,15,Retired,2/3/58,"Richmond, VA",Male,US Naval Academy; University Of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0,STS-89 (Endeavor),,
Donn F. Eisele,1963,3,Deceased,5/23/30,"Columbus, OH",Male,US Naval Academy; US Air Force Institute Of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,12/2/87,
Anthony W. England,1967,6,Retired,5/15/42,"Indianapolis, IN",Male,Massachusetts Institute Of Technology,Geology,Geology; Geophysics,,,1,190,0,0,STS 51-F (Challenger),,
Joe H. Engle,1966,5,Retired,8/26/32,"Dickinson, KS",Male,University Of Kansas,Aeronautical Engineering,,Major General,US Air Force (Retired),2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",,
Jeanette J. Epps,2009,20,Active,11/3/70,"Syracuse, NY",Female,LeMoyne College; University Of Maryland,Physics,Aerospace Engineering,,,0,0,0,0,,,
Ronald E. Evans Jr. ,1966,5,Deceased,11/10/33,"St. Francis, KS",Male,University Of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,301,1,1,Apollo 17,4/6/90,
John M. Fabian,1978,8,Retired,1/28/39,"Goosecreek, TX",Male,Washington State University; US Air Force Institute Of Technology; University Of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Colonel,US Air Force (Retired),2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)",,
Christopher J. Ferguson,1998,17,Retired,9/1/61,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Martin J. Fettman,,,Retired,12/31/56,"Brooklyn, NY",Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,,,1,336,0,0,STS-58 (Columbia),,
Andrew J. Feustel,2000,18,Active,8/25/65,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,,,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)",,
E. Michael Fincke,1996,16,Active,3/14/67,"Pittsburgh, PA",Male,Massachusetts Institute Of Technology; Stanford University; University Of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
Jack D. Fischer,2009,20,Active,1/23/74,"Louisville, CO",Male,US Air Force Academy; Massachusetts Institute Of Technology,Astronautical Engineering,Aeronautics & Astronautics,,,0,0,0,0,,,
Anna L. Fisher,1978,8,Management,8/24/49,"New York, NY",Female,University Of California-Los Angeles,Chemistry,Chemistry; Medicine,,,1,191,0,0,STS 51-A (Discovery),,
William F. Fisher,1980,9,Retired,4/1/46,"Dallas, TX",Male,Stanford University; University Of Houston; University Of Florida,,Engineering; Medicine,,,1,170,2,12,STS 51-I (Discovery),,
C. Michael Foale,1987,12,Active,1/6/57,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,,,6,8970,4,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,
